OBJECTID,CELL_ID,DECLINATION,ANNUAL_DRIFT,INCLINATION,DEC_MILS,DEC_DEGMINSEC,LAT,LON,PUBLICDISPLAY,DATAACCESS,UNITCODE,UNITNAME,REGIONCODE,MAPMETHOD,MAPSOURCE,SOURCEDATE,XYACCURACY,NOTES,GlobalID,COUNTY,QUADNAME,ROAD,PARKDISTRICT,STATE,TRAIL,X_COORD,Y_COORD,ELEVATION,ZACCURACY,LOC_NAME,VALID_RESULT,x,y
1,176333,-6.37510544977398,-0.0533706252442721,63.7114281713966,113.335349664992,06° 12' 05.66"""" W,35.8437505950001,-83.218749466,Public Map Display,Unrestricted,GRSM,Great Smoky Mountains National Park,SER,DERV,,5/6/2021 12:00:00 AM,>=1m and <5m,,cd94f4aa-2910-4265-96b1-f5ba94314871,Cocke,HARTFORD,Foothills Parkway Northeast Parking #3,,Tennessee,Tritt Cemetery Access Trail,299619.791087507,3968890.9262602,,>=1m and <5m,Needs a Location Name,Accepted,-83.218749466,35.8437505950001
2,231824,-6.15535086147263,-0.0552879085312425,63.6936027876597,109.428596545088,05° 58' 24.15"""" W,35.781250642,-83.531249427,Public Map Display,Unrestricted,GRSM,Great Smoky Mountains National Park,SER,DERV,,5/6/2021 12:00:00 AM,>=1m and <5m,,c42496df-55c3-4c69-b39f-c037b3c1a9f7,Sevier,PIGEON FORGE,Gatlinburg Spur Road (North),,Tennessee,Foothills Spur Trail ,271212.398811199,3962642.41392752,,>=1m and <5m,Needs a Location Name,Accepted,-83.531249427,35.781250642
3,241298,-6.19767800755953,-0.0549719883286741,63.6869738342158,110.181080082792,06° 01' 01.54"""" W,35.781250605,-83.4687494459999,Public Map Display,Unrestricted,GRSM,Great Smoky Mountains National Park,SER,DERV,,5/6/2021 12:00:00 AM,>=1m and <5m,,a6099c2c-73a4-4b5d-9266-493c01ad36d6,Sevier,RICHARDSON COVE,Smoky Mountain Stables Road,,Tennessee,Little Dudley Concession Horse Trail,276862.603503942,3962498.16939337,,>=1m and <5m,Needs a Location Name,Accepted,-83.4687494459999,35.781250605
4,241300,-6.2399596346696,-0.0546550704119726,63.6802870816405,110.932754393229,06° 03' 38.78"""" W,35.7812506080001,-83.406249454,Public Map Display,Unrestricted,GRSM,Great Smoky Mountains National Park,SER,DERV,,5/6/2021 12:00:00 AM,>=1m and <5m,,eb824ba9-3e3b-4f77-9ba1-1e90f58cc102,Sevier,RICHARDSON COVE,Greenbrier Road,,Tennessee,Old Settlers Trail,282512.724712757,3962357.54183768,,>=1m and <5m,Needs a Location Name,Accepted,-83.406249454,35.7812506080001
5,187986,-6.28219517932895,-0.0543371574274305,63.6735425437869,111.683609459074,06° 06' 15.86"""" W,35.7812506240001,-83.343749471,Public Map Display,Unrestricted,GRSM,Great Smoky Mountains National Park,SER,DERV,,5/6/2021 12:00:00 AM,>=1m and <5m,,2bba9e4b-4925-4ced-a512-4c9e8265eee5,Sevier,JONES COVE,Greenbrier Unpaved Road,,Tennessee,Old Settlers Trail,288162.762683772,3962220.52781195,,>=1m and <5m,Needs a Location Name,Accepted,-83.343749471,35.7812506240001
6,187988,-6.32438410203508,-0.0540182518819283,63.666740231774,112.433635689159,06° 08' 52.79"""" W,35.781250626,-83.281249483,Public Map Display,Unrestricted,GRSM,Great Smoky Mountains National Park,SER,DERV,,5/6/2021 12:00:00 AM,>=1m and <5m,,1b3b0987-89c0-4756-818e-8e12ce7bd949,Cocke,JONES COVE,Foothills Parkway Section 8a,,Tennessee,Maddron Bald Trail,293812.720744983,3962087.12380445,,>=1m and <5m,Needs a Location Name,Accepted,-83.281249483,35.781250626
7,176334,-6.36652588386238,-0.053698356018538,63.6598801840315,113.182823858129,06° 11' 29.56"""" W,35.7812506220001,-83.218749454,Public Map Display,Unrestricted,GRSM,Great Smoky Mountains National Park,SER,DERV,,5/6/2021 12:00:00 AM,>=1m and <5m,,9f77a583-1889-45cf-95e4-9a5144089608,Cocke,HARTFORD,Cosby Entrance Road,,Tennessee,Tritt Cemetery Access Trail,299462.604309219,3961957.33015742,,>=1m and <5m,Needs a Location Name,Accepted,-83.218749454,35.7812506220001
8,176336,-6.40861992496684,-0.0533774727679672,63.6529624464986,113.931163302075,06° 14' 06.17"""" W,35.7812506120001,-83.1562494679999,Public Map Display,Unrestricted,GRSM,Great Smoky Mountains National Park,SER,DERV,,5/6/2021 12:00:00 AM,>=1m and <5m,,3e39996f-2681-49f0-b004-1def9d7e83b2,Cocke,HARTFORD,Big Creek Entrance Road,,Tennessee,Lower Mount Cammerer Trail,305112.407920314,3961831.14658547,,>=1m and <5m,Needs a Location Name,Accepted,-83.1562494679999,35.7812506120001
9,191277,-5.93474170259486,-0.0571690816792438,63.6742876547144,105.506651040391,05° 44' 40.06"""" W,35.7187506270001,-83.84374941,Public Map Display,Unrestricted,GRSM,Great Smoky Mountains National Park,SER,DERV,,5/6/2021 12:00:00 AM,>=1m and <5m,,b22698b2-c21f-43d5-a4f8-982ff3116ae1,Blount,KINZEL SPRINGS,Foothills Parkway Section 8g,,Tennessee,Ace Gap Trail,242758.768165355,3956483.21598624,,>=1m and <5m,Needs a Location Name,Accepted,-83.84374941,35.7187506270001
10,191279,-5.97726202751144,-0.056859198960717,63.6679481406201,106.262568872693,05° 47' 18.06"""" W,35.718750637,-83.7812494409999,Public Map Display,Unrestricted,GRSM,Great Smoky Mountains National Park,SER,DERV,,5/6/2021 12:00:00 AM,>=1m and <5m,,628d9b7d-eaf5-4508-ad14-521ef7147d77,Blount,KINZEL SPRINGS,Foothills Parkway Section 8e,,Tennessee,Ace Gap Trail,248413.860537166,3956321.02454021,,>=1m and <5m,Needs a Location Name,Accepted,-83.7812494409999,35.718750637
11,277197,-6.01973975754169,-0.0565483063917323,63.6615505528948,107.017729461625,05° 49' 55.93"""" W,35.7187506270001,-83.718749454,Public Map Display,Unrestricted,GRSM,Great Smoky Mountains National Park,SER,DERV,,5/6/2021 12:00:00 AM,>=1m and <5m,,7c1ed9cf-c782-4a57-8047-0657f1c8d833,Blount,WEAR COVE,Foothills Parkway Section 8e,,Tennessee,Roundtop Trail,254068.8585212,3956162.44345248,,>=1m and <5m,Needs a Location Name,Accepted,-83.718749454,35.7187506270001
12,277199,-6.06217434860599,-0.0562364059923852,63.6550949483498,107.772123134648,05° 52' 33.65"""" W,35.718750631,-83.6562494459999,Public Map Display,Unrestricted,GRSM,Great Smoky Mountains National Park,SER,DERV,,5/6/2021 12:00:00 AM,>=1m and <5m,,069599aa-69c3-4801-8665-28698f75e831,Sevier,WEAR COVE,Foothills Parkway Section 8e,,Tennessee,Roundtop Trail,259723.764642334,3956007.4759282,,>=1m and <5m,Needs a Location Name,Accepted,-83.6562494459999,35.718750631
13,167245,-6.10456522643852,-0.0559235001658589,63.6485813641132,108.525739682579,05° 55' 11.23"""" W,35.718750653,-83.593749454,Public Map Display,Unrestricted,GRSM,Great Smoky Mountains National Park,SER,DERV,,5/6/2021 12:00:00 AM,>=1m and <5m,,a774f6f9-ff71-4252-b5fa-5d026258e518,Sevier,GATLINBURG,Laurel Falls Parking B,,Tennessee,Cove Mountain Trail,265378.577709322,3955856.12195317,,>=1m and <5m,Needs a Location Name,Accepted,-83.593749454,35.718750653
